frameIndex;frameTime;pcm_LOGenergy
63;0.630000;-5.110563e+000
64;0.640000;-5.729415e+000
65;0.650000;-7.065777e+000
66;0.660000;-9.001997e+000
67;0.670000;-1.025664e+001
68;0.680000;-1.108377e+001
69;0.690000;-9.258309e+000
70;0.700000;-8.996446e+000
71;0.710000;-9.075211e+000
72;0.720000;-1.049064e+001
73;0.730000;-9.840915e+000
74;0.740000;-5.205902e+000
75;0.750000;-4.262685e+000
76;0.760000;-4.113321e+000
77;0.770000;-4.666995e+000
78;0.780000;-5.843828e+000
79;0.790000;-6.547029e+000
80;0.800000;-6.414442e+000
81;0.810000;-6.019662e+000
82;0.820000;-5.905769e+000
83;0.830000;-6.204092e+000
84;0.840000;-6.541265e+000
85;0.850000;-7.211388e+000
86;0.860000;-8.871499e+000
87;0.870000;-1.050651e+001
88;0.880000;-1.046693e+001
89;0.890000;-7.261350e+000
90;0.900000;-5.433451e+000
91;0.910000;-5.011667e+000
92;0.920000;-5.173112e+000
93;0.930000;-5.618752e+000
94;0.940000;-5.683720e+000
95;0.950000;-5.553458e+000
96;0.960000;-5.499320e+000
97;0.970000;-5.659693e+000
98;0.980000;-5.967442e+000
99;0.990000;-5.940142e+000
100;1.000000;-6.260837e+000
101;1.010000;-6.405324e+000
102;1.020000;-7.007336e+000
103;1.030000;-7.831567e+000
104;1.040000;-9.795607e+000
105;1.050000;-1.178039e+001
106;1.060000;-1.253146e+001
107;1.070000;-1.230358e+001
108;1.080000;-1.184618e+001
109;1.090000;-1.098941e+001
110;1.100000;-7.030972e+000
111;1.110000;-5.984033e+000
112;1.120000;-5.532118e+000
113;1.130000;-5.374680e+000
114;1.140000;-5.308403e+000
115;1.150000;-5.233981e+000
116;1.160000;-5.205100e+000
117;1.170000;-5.150875e+000
118;1.180000;-5.499326e+000
119;1.190000;-6.084443e+000
120;1.200000;-7.338589e+000
121;1.210000;-7.795994e+000
122;1.220000;-7.769055e+000
123;1.230000;-7.730781e+000
124;1.240000;-7.811463e+000
125;1.250000;-8.773537e+000
126;1.260000;-1.032256e+001
127;1.270000;-1.274137e+001
128;1.280000;-7.699865e+000
129;1.290000;-6.613811e+000
130;1.300000;-5.831880e+000
131;1.310000;-5.536362e+000
132;1.320000;-5.485495e+000
133;1.330000;-5.867355e+000
134;1.340000;-6.731209e+000
135;1.350000;-7.348706e+000
136;1.360000;-7.149388e+000
137;1.370000;-6.876202e+000
138;1.380000;-7.068804e+000
139;1.390000;-7.326736e+000
140;1.400000;-8.238174e+000
141;1.410000;-1.000629e+001
142;1.420000;-1.298738e+001
143;1.430000;-1.374892e+001
144;1.440000;-1.084411e+001
145;1.450000;-7.752284e+000
146;1.460000;-7.590731e+000
147;1.470000;-7.001431e+000
148;1.480000;-6.224124e+000
149;1.490000;-5.828341e+000
150;1.500000;-5.497618e+000
151;1.510000;-5.284734e+000
152;1.520000;-5.057918e+000
153;1.530000;-5.031289e+000
154;1.540000;-4.989518e+000
155;1.550000;-4.940435e+000
156;1.560000;-4.902903e+000
157;1.570000;-4.956123e+000
158;1.580000;-4.911492e+000
159;1.590000;-4.702405e+000
160;1.600000;-4.615985e+000
161;1.610000;-4.901399e+000
162;1.620000;-5.588205e+000
163;1.630000;-6.122812e+000
164;1.640000;-6.574127e+000
165;1.650000;-7.778173e+000
166;1.660000;-9.285918e+000
167;1.670000;-1.124737e+001
168;1.680000;-1.201647e+001
169;1.690000;-1.284244e+001
170;1.700000;-1.326326e+001
171;1.710000;-1.339677e+001
172;1.720000;-1.130892e+001
173;1.730000;-1.082349e+001
174;1.740000;-9.893354e+000
175;1.750000;-8.295197e+000
176;1.760000;-7.625916e+000
177;1.770000;-7.521052e+000
178;1.780000;-7.501143e+000
179;1.790000;-7.412313e+000
180;1.800000;-7.299230e+000
181;1.810000;-7.088419e+000
182;1.820000;-7.153606e+000
183;1.830000;-7.488403e+000
184;1.840000;-8.442715e+000
185;1.850000;-1.019814e+001
186;1.860000;-1.299922e+001
187;1.870000;-1.379168e+001
188;1.880000;-1.376155e+001
189;1.890000;-1.271134e+001
190;1.900000;-5.580544e+000
191;1.910000;-4.818328e+000
192;1.920000;-4.703628e+000
193;1.930000;-5.387193e+000
194;1.940000;-5.789776e+000
195;1.950000;-5.761802e+000
196;1.960000;-5.539326e+000
197;1.970000;-5.245137e+000
198;1.980000;-4.743814e+000
199;1.990000;-4.128786e+000
200;2.000000;-3.786191e+000
201;2.010000;-3.888289e+000
202;2.020000;-4.476956e+000
203;2.030000;-5.281589e+000
204;2.040000;-5.592966e+000
205;2.050000;-5.911374e+000
206;2.060000;-6.030840e+000
207;2.070000;-6.699807e+000
208;2.080000;-7.177205e+000
209;2.090000;-8.304707e+000
210;2.100000;-9.174152e+000
211;2.110000;-1.081757e+001
212;2.120000;-1.226544e+001
213;2.130000;-1.277014e+001
214;2.140000;-1.110649e+001
215;2.150000;-8.925920e+000
216;2.160000;-7.952997e+000
217;2.170000;-7.533133e+000
218;2.180000;-7.171060e+000
219;2.190000;-6.943247e+000
220;2.200000;-6.895694e+000
221;2.210000;-6.810081e+000
222;2.220000;-7.081100e+000
223;2.230000;-7.471678e+000
224;2.240000;-8.235587e+000
225;2.250000;-9.979832e+000
226;2.260000;-7.583491e+000
227;2.270000;-6.506393e+000
228;2.280000;-5.954659e+000
229;2.290000;-5.960740e+000
230;2.300000;-5.869966e+000
231;2.310000;-5.888179e+000
232;2.320000;-5.864720e+000
233;2.330000;-5.902349e+000
234;2.340000;-5.858016e+000
235;2.350000;-5.725155e+000
236;2.360000;-5.573960e+000
237;2.370000;-5.489009e+000
238;2.380000;-5.576129e+000
239;2.390000;-5.732101e+000
240;2.400000;-5.412650e+000
241;2.410000;-5.042592e+000
242;2.420000;-4.869651e+000
243;2.430000;-4.869488e+000
244;2.440000;-5.045818e+000
245;2.450000;-5.767756e+000
246;2.460000;-7.590760e+000
247;2.470000;-9.963063e+000
248;2.480000;-1.033031e+001
249;2.490000;-1.104322e+001
250;2.500000;-1.143923e+001
251;2.510000;-1.227654e+001
252;2.520000;-1.378559e+001
253;2.530000;-1.386633e+001
254;2.540000;-1.435007e+001
255;2.550000;-1.439679e+001
256;2.560000;-1.463181e+001
257;2.570000;-1.525129e+001
258;2.580000;-1.533599e+001
259;2.590000;-1.569347e+001
260;2.600000;-1.559297e+001
261;2.610000;-1.574692e+001
262;2.620000;-1.594630e+001
263;2.630000;-1.650314e+001
264;2.640000;-9.912867e+000
265;2.650000;-5.529719e+000
266;2.660000;-4.683614e+000
267;2.670000;-4.471592e+000
268;2.680000;-4.664585e+000
269;2.690000;-4.859466e+000
270;2.700000;-5.094561e+000
271;2.710000;-5.388826e+000
272;2.720000;-5.700769e+000
273;2.730000;-6.204250e+000
274;2.740000;-7.141178e+000
275;2.750000;-8.089865e+000
276;2.760000;-8.503280e+000
277;2.770000;-8.610106e+000
278;2.780000;-8.526613e+000
279;2.790000;-8.123755e+000
280;2.800000;-7.960475e+000
281;2.810000;-8.194145e+000
282;2.820000;-8.369596e+000
283;2.830000;-8.907125e+000
284;2.840000;-9.431079e+000
285;2.850000;-7.049407e+000
286;2.860000;-6.410609e+000
287;2.870000;-6.146073e+000
288;2.880000;-6.247364e+000
289;2.890000;-6.146904e+000
290;2.900000;-6.315523e+000
291;2.910000;-6.601331e+000
292;2.920000;-6.801353e+000
293;2.930000;-6.998731e+000
